country;year;sector;subsector;label;collective_dose_total;average_dose_monitored;average_dose_exposed;total_workers_number;D < RL;RL  < D < 1 mSv;1 mSv <= D < 5 mSv;5 mSv <= D < 10 mSv;10 mSv <= D < 15 mSv;15 mSv <= D < 20 mSv;20 mSv <= D
Czech Republic;2010;;Nuclear medicine;Hp10 (external dose photons);0.623;0.610;0.910;1025;339;423;258;4;1;0;0
Czech Republic;2010;;Nuclear medicine;I (internal dose);0.000;;;;;;;;;;
Czech Republic;2010;;Dental radiology;Hp10 (external dose photons);0.002;0.050;0.850;37;35;2;0;0;0;0;0
Czech Republic;2010;;Veterinary units;E (effective dose);0.016;0.180;0.440;89;53;33;3;0;0;0;0
Czech Republic;2010;;Veterinary units;Hp10 (external dose photons);0.011;0.120;0.290;89;53;33;3;0;0;0;0
Czech Republic;2010;;Other medical activities;E (effective dose);1.868;0.400;1.300;4645;3210;994;356;68;13;4;0
Czech Republic;2010;;Other medical activities;Hp10 (external dose photons);2.338;0.500;1.630;4645;3210;994;356;68;13;4;0
Czech Republic;2010;INDUSTRY;;E (effective dose);1.367;0.740;1.220;1857;732;806;267;41;7;3;1
Czech Republic;2010;INDUSTRY;;Hp10 (external dose photons);1.261;0.680;1.120;1857;732;806;267;41;7;3;1
Czech Republic;2010;INDUSTRY;;Hp10n (external dose neutrons);0.192;;;;;;;;;;
Czech Republic;2010;INDUSTRY;;I (internal dose);0.036;;;;;;;;;;
Czech Republic;2010;;Industrial radiography;Hp10 (external dose photons);0.565;0.820;1.320;693;265;295;115;14;3;1;0
Czech Republic;2010;;Radioisotopes production and conditioning;E (effective dose);0.510;0.750;1.250;676;268;302;83;19;2;1;1
Czech Republic;2010;;Radioisotopes production and conditioning;Hp10 (external dose photons);0.422;0.620;1.040;676;268;302;83;19;2;1;1
Czech Republic;2010;;Radioisotopes production and conditioning;I (internal dose);0.036;;;;;;;;;;
Czech Republic;2010;;Other industrial activities;Hp10 (external dose photons);0.059;1.230;1.320;48;3;20;21;1;2;1;0
Czech Republic;2010;NUCLEAR FIELD;;E (effective dose);4.823;1.210;2.970;3975;2351;759;569;172;78;28;18
Czech Republic;2010;NUCLEAR FIELD;;Hp10 (external dose photons);0.234;0.060;0.140;3975;2351;759;569;172;78;28;18
Czech Republic;2010;NUCLEAR FIELD;;Hp10n (external dose neutrons);0.017;;;;;;;;;;
Czech Republic;2010;NUCLEAR FIELD;;I (internal dose);0.000;;;;;;;;;;
Czech Republic;2010;;Uranium ore extraction/processing;E (effective dose);4.068;5.360;5.600;759;33;64;380;158;78;28;18
Czech Republic;2010;;Uranium ore extraction/processing;Hp10 (external dose photons);0.138;0.180;0.190;759;33;64;380;158;78;28;18
Czech Republic;2010;;Nucl. power reactor (permanent staff only);E (effective dose);0.754;0.230;0.840;3216;2318;695;189;14;0;0;0
Czech Republic;2010;;Nucl. power reactor (permanent staff only);Hp10 (external dose photons);0.096;0.030;0.110;3216;2318;695;189;14;0;0;0
Czech Republic;2010;;Nucl. power reactor (permanent staff only);Hp10n (external dose neutrons);0.017;;;;;;;;;;
Czech Republic;2010;;Nucl. power reactor (permanent staff only);I (internal dose);0.000;;;;;;;;;;
Czech Republic;2010;;Radioactive waste management facilities;E (effective dose);0.005;0.170;0.340;29;15;13;1;0;0;0;0
Czech Republic;2010;;Radioactive waste management facilities;Hp10 (external dose photons);0.004;0.150;0.310;29;15;13;1;0;0;0;0
Czech Republic;2010;TRANSPORT;;E (effective dose);0.048;1.860;3.030;26;10;2;12;2;0;0;0
Czech Republic;2010;TRANSPORT;;Hp10 (external dose photons);0.045;1.730;2.820;26;10;2;12;2;0;0;0
Czech Republic;2010;;Nuclear fuel cycle;E (effective dose);0.034;1.790;1.790;19;0;2;17;0;0;0;0
Czech Republic;2010;;Nuclear fuel cycle;Hp10 (external dose photons);0.000;;;;;;;;;;
Czech Republic;2010;RESEARCH AND EDUCATION;;E (effective dose);0.167;0.400;0.740;414;186;187;36;5;0;0;0
Czech Republic;2010;RESEARCH AND EDUCATION;;Hp10 (external dose photons);0.169;0.410;0.740;414;186;187;36;5;0;0;0
Czech Republic;2010;RESEARCH AND EDUCATION;;Hp10n (external dose neutrons);0.030;;;;;;;;;;
Czech Republic;2010;RESEARCH AND EDUCATION;;I (internal dose);0.000;;;;;;;;;;
Czech Republic;2010;;Other research sectors and education;E (effective dose);0.167;0.400;0.740;414;186;187;36;5;0;0;0
Czech Republic;2010;;Other research sectors and education;Hp10 (external dose photons);0.169;0.410;0.740;414;186;187;36;5;0;0;0
Czech Republic;2010;OTHER FIELDS;;E (effective dose);0.247;0.270;0.830;903;605;252;36;8;2;0;0
Czech Republic;2010;;Emergency response;E (effective dose);0.003;0.230;0.320;11;3;8;0;0;0;0;0
Czech Republic;2010;;Emergency response;Hp10 (external dose photons);0.003;0.270;0.370;11;3;8;0;0;0;0;0
Czech Republic;2010;;Regulatory control activities;E (effective dose);0.049;0.210;0.480;240;136;98;5;1;0;0;0
Czech Republic;2010;;Regulatory control activities;Hp10 (external dose photons);0.056;0.230;0.540;240;136;98;5;1;0;0;0
The Netherlands;2010;ALL MONITORED WORKERS;;E (effective dose);40.466;0.800;1.660;50618;26296;9577;14059;427;138;56;65
The Netherlands;2010;MEDICAL FIELD;;E (effective dose);12.686;0.460;1.710;27701;20263;5015;1857;338;117;49;62
The Netherlands;2010;INDUSTRY;;E (effective dose);2.282;0.600;1.470;3797;2244;1065;403;65;13;4;3
The Netherlands;2010;NUCLEAR FIELD;;E (effective dose);0.742;0.440;1.020;1689;964;515;191;19;0;0;0
The Netherlands;2010;;Aviation;E (effective dose);24.329;1.700;1.720;14315;157;2602;11556;0;0;0;0
The Netherlands;2010;OTHER FIELDS;;E (effective dose);0.427;0.130;0.900;3291;2815;408;53;5;7;3;0
Hungary;2010;ALL MONITORED WORKERS;;E (effective dose);4.371;0.270;1.410;16025;12919;1895;1041;158;11;1;0
Hungary;2010;ALL MONITORED WORKERS;;Hp10 (external dose photons);4.371;0.270;1.410;16025;12919;1895;1041;158;11;1;0
Hungary;2010;MEDICAL FIELD;;E (effective dose);1.514;0.160;0.870;9645;7901;1286;446;12;0;0;0
